tmdb_id,title,genres,avg_rating,overview,year
76494,What to Expect When You're Expecting,"Romance, Comedy, Drama",6.312903225806451,"Challenges of impending parenthood turn the lives of five couples upside down. Two celebrities are unprepared for the surprise demands of pregnancy; hormones wreak havoc on a baby-crazy author, while her husband tries not to be outdone by his father,",2012
2043,Along Came a Spider,"Crime, Mystery, Thriller, Action",6.925,"After the harrowing death of his partner, detective and best-selling author Alex Cross has retreated to the peace of retirement. But when a brilliant criminal kidnaps a senator's young daughter, Alex is lured back into action. Teamed with the Secret ",2001
2609,"Planes, Trains and Automobiles",Comedy,6.221428571428571,"An irritable marketing executive, Neal Page, is heading home to Chicago for Thanksgiving when a number of delays force him to travel with a well meaning but overbearing shower ring curtain salesman, Del Griffith.",1987
14442,Ella Enchanted,"Family, Fantasy, Comedy",6.635384615384615,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds hers",2004
420634,Terrifier,"Horror, Thriller",5.9375,"On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.",2018
9535,Analyze This,"Comedy, Crime",6.836666666666667,"Countless wiseguy films are spoofed in this film that centers on the neuroses and angst of a powerful Mafia racketeer who suffers from panic attacks. When Paul Vitti needs help dealing with his role in the ""family,"" unlucky shrink Dr. Ben Sobel is gi",1999
1636,Bedazzled,"Fantasy, Comedy, Romance",6.71060606060606,"Elliot Richards, a socially awkward IT worker, is given seven wishes to get the girl of his dreams when he meets a very seductive Satan. The catch: his soul. Some of his wishes include being a 7 foot basketball star, a wealthy, powerful man, and a se",2000
11679,xXx: State of the Union,"Action, Adventure, Crime, Mystery, Thriller",6.0076923076923086,Darius Stone's criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert.,2005
241257,Regression,"Horror, Mystery, Thriller",5.741176470588235,"Minnesota, 1990. Detective Bruce Kenner investigates the case of young Angela, who accuses her father, John Gray, of an unspeakable crime. When John unexpectedly and without recollection admits guilt, renowned psychologist Dr. Raines is brought in to",2015
183011,Justice League: The Flashpoint Paradox,"Science Fiction, Animation, Action, Adventure",7.062790697674418,The Flash finds himself in a war-torn alternate timeline and teams up with alternate versions of his fellow heroes to restore the timeline.,2013
11932,Bride of Chucky,"Comedy, Horror",6.651428571428572,"After being cut apart by the police, killer doll Chucky is resurrected by Tiffany, an ex-girlfriend of the serial murderer whose soul is inside the toy. Following an argument, Chucky kills Tiffany and transfers her soul into a bride doll. To find the",1998
4824,The Jackal,"Action, Thriller, Adventure, Crime",6.475384615384615,"Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, a psychopathic hitman known only as The Jackal proves an elusive target for the people charged with the task of bringing him down: a deputy FBI directo",1997
47327,Drive Angry,"Fantasy, Thriller, Action, Crime",5.986153846153846,"Milton is a hardened felon who has broken out of Hell, intent on finding the vicious cult who brutally murdered his daughter and kidnapped her baby. He joins forces with a sexy, tough-as-nails waitress, who's also seeking redemption of her own. Caugh",2011
9619,Dante's Peak,"Action, Adventure, Drama, Thriller",6.69016393442623,"Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the ",1997
755566,Day Shift,"Action, Fantasy, Horror, Comedy",6.007407407407408,An LA vampire hunter has a week to come up with the cash to pay for his kid's tuition and braces. Trying to make a living these days just might kill him.,2022
4543,Monty Python's The Meaning of Life,Comedy,6.1,"Life's questions are 'answered' in a series of outrageous vignettes, beginning with a staid London insurance company which transforms before our eyes into a pirate ship. Then there's the National Health doctors who try to claim a healthy liver from a",1983
13515,Mirrors,"Horror, Mystery, Thriller, Drama, Fantasy",6.534862385321101,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,2008
8424,Love Me If You Dare,"Drama, Comedy, Romance",7.011764705882353,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a w",2003
3989,Team America: World Police,"Adventure, Action, Comedy",6.756756756756757,"Team America World Police follows an international police force dedicated to maintaining global stability. Learning that dictator Kim Jong il is out to destroy the world, the team recruits Broadway star Gary Johnston to go undercover. With the help o",2004
264999,Magic Mike XXL,"Comedy, Drama",6.0360000000000005,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",2015
2069,The Whole Nine Yards,"Comedy, Crime",6.492105263157894,"After a mobster agrees to cooperate with an FBI investigation in order to stay out of prison, he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbou",2000
591274,Fear Street: 1978,"Mystery, Horror",6.167796610169491,"In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns' history come alive.",2021
82505,House at the End of the Street,"Horror, Thriller",6.1000000000000005,"A mother and daughter move to a new town and find themselves living next door to a house where a young girl murdered her parents. When the daughter befriends the surviving son, she learns the story is far from over.",2012
9946,End of Days,"Action, Fantasy, Horror, Mystery",6.671717171717172,"On 28 December 1999, the citizens of New York City are getting ready for the turn of the millennium. However, Satan decides to crash the party by coming to the city  and searching for his chosen bride — a 20-year-old woman named Christine York. The w",1999
9255,Hot Shots! Part Deux,"Action, Comedy, War",6.767441860465116,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team—who went in to rescue hostages left behind after De",1993
9100,The Craft,"Horror, Drama, Fantasy",6.708333333333333,"A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.",1996
1634,Free Willy,"Family, Adventure, Drama",6.650943396226415,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, ",1993
382322,Batman: The Killing Joke,"Action, Animation, Crime, Drama",6.318666666666666,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",2016
9341,The Core,"Action, Thriller, Adventure, Science Fiction",6.325,"Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic conse",2003
521777,Good Boys,Comedy,6.4,A group of young boys on the cusp of becoming teenagers embark on an epic quest to fix their broken drone before their parents get home.,2019
457136,Mary Queen of Scots,"Drama, History",6.026315789473684,"In 1561, Mary Stuart, widow of the King of France, returns to Scotland, reclaims her rightful throne and menaces the future of Queen Elizabeth I as ruler of England, because she has a legitimate claim to the English throne. Betrayals, rebellions, con",2018
11452,National Lampoon's Van Wilder,"Comedy, Romance",6.4766666666666675,"Van Wilder has been attending college for far too many years and is scared to graduate, but Van’s father eventually realizes what is going on. When he stops paying his son's tuition fees, Van must come up with the money if he wants to stay in college",2002
